french,pronunciation,english,example_fr,example_en
bureau,byoo-roh,desk,Mon bureau est organisé et propre.,My desk is organized and clean.
tapis,tah-pee,rug,Le tapis est doux sous les pieds.,The rug is soft under the feet.
lampe,lahmp,lamp,Allume la lampe pour lire.,Turn on the lamp to read.
miroir,mee-rwar,mirror,Le miroir reflète bien la lumière.,The mirror reflects light well.
horloge,or-lozh,clock,L'horloge indique qu'il est midi.,The clock shows it's noon.
chemise,shuh-meez,shirt,Il porte une chemise blanche.,He is wearing a white shirt.
pantalon,pan-tah-lon,pants/trousers,Je dois acheter un nouveau pantalon.,I need to buy new pants.
robe,rob,dress,Elle a une belle robe rouge.,She has a beautiful red dress.
jupe,zhup,skirt,Ma jupe est longue et élégante.,My skirt is long and elegant.
veste,vest,jacket,"Il fait froid, prends une veste.","It's cold, take a jacket."
manteau,mahn-toh,coat,Mon manteau est chaud pour l'hiver.,My coat is warm for winter.
pull,pool,sweater,J'ai acheté un pull en laine.,I bought a wool sweater.
t-shirt,tee-shert,t-shirt,Elle porte un t-shirt avec un motif.,She is wearing a t-shirt with a pattern.
short,short,shorts,Les shorts sont confortables en été.,Shorts are comfortable in summer.
chaussures,shoh-sur,shoes,Il a de nouvelles chaussures noires.,He has new black shoes.
bottes,bot,boots,Les bottes sont pratiques en hiver.,Boots are practical in winter.
sandales,san-dal,sandals,Elle préfère porter des sandales quand il fait chaud.,She prefers to wear sandals when it's hot.
chapeau,sha-poh,hat,Il porte un chapeau pour se protéger du soleil.,He wears a hat to protect himself from the sun.
écharpe,ay-sharp,scarf,Je mets une écharpe quand il fait froid.,I wear a scarf when it's cold.
gants,gon,gloves,N'oublie pas de mettre tes gants en hiver.,Don't forget to wear your gloves in winter.
ceinture,san-tur,belt,La ceinture maintient son pantalon.,The belt holds up his pants.
collier,kol-yay,necklace,Elle a un joli collier en argent.,She has a pretty silver necklace.
bracelet,brah-slay,bracelet,Il porte un bracelet en cuir.,He is wearing a leather bracelet.
bague,bag,ring,La bague est en or.,The ring is made of gold.
montre,mon-truh,watch,Il regarde sa montre pour vérifier l'heure.,He checks his watch to see the time.
lunettes,loo-net,glasses,Elle a des lunettes pour lire.,She has glasses to read.
maillot de bain,my-oh duh ban,swimsuit,Il a acheté un nouveau maillot de bain.,He bought a new swimsuit.
pyjama,pee-zha-mah,pajamas,Je porte un pyjama confortable.,I wear comfortable pajamas.
costume,kos-toom,suit,Il porte un costume pour l'entretien.,He is wearing a suit for the interview.
cravate,kra-vat,tie,Il a noué sa cravate soigneusement.,He tied his tie carefully.
capuche,ka-poosh,hood,La capuche de son sweat-shirt est tirée.,The hood of his sweatshirt is up.
sac à dos,sak ah doh,backpack,Elle porte un sac à dos pour l'école.,She is carrying a backpack for school.
tête,tet,head,Il a mal à la tête.,He has a headache.
visage,vee-zazh,face,Son visage est souriant.,His face is smiling.
yeux,yuh,eyes,Elle a de beaux yeux bleus.,She has beautiful blue eyes.
oreilles,or-ay,ears,Mes oreilles sont sensibles au bruit.,My ears are sensitive to noise.
nez,nay,nose,Mon nez coule à cause du rhume.,My nose is running because of the cold.
bouche,boosh,mouth,"Ouvre la bouche, s'il te plaît.","Open your mouth, please."
dents,dahn,teeth,Il a les dents blanches.,He has white teeth.
langue,lahng,tongue,La langue est un organe important.,The tongue is an important organ.
gorge,gorzh,throat,Elle a une irritation dans la gorge.,She has a throat irritation.
cou,koo,neck,Il a une douleur au cou.,He has neck pain.
épaule,ay-pol,shoulder,Elle a blessé son épaule en jouant au football.,She injured her shoulder playing football.
bras,brah,arm,J'ai mal au bras après avoir soulevé ce sac.,My arm hurts after lifting that bag.
main,man,hand,Lave-toi les mains avant de manger.,Wash your hands before eating.
doigts,dwah,fingers,Ses doigts sont froids.,His fingers are cold.
poignet,pwah-nyay,wrist,Elle a une montre au poignet.,She has a watch on her wrist.
torse,tors,chest,Il a une blessure au torse.,He has a chest injury.
dos,doh,back,Elle a mal au dos après avoir travaillé.,She has back pain after working.
taille,tie,waist,Il mesure la taille de la table.,He measures the width of the table.
jambes,zhahm,legs,Ses jambes sont fortes.,Her legs are strong.
genoux,zhuh-noo,knees,Il a mal aux genoux après la course.,His knees hurt after running.
pieds,pyay,feet,Je porte des chaussures confortables aux pieds.,I wear comfortable shoes on my feet.
talon,tah-lon,heel,Son talon est endolori.,His heel is sore.
cheville,shuh-vee,ankle,Elle a foulé sa cheville en dansant.,She twisted her ankle while dancing.
coeur,kur,heart,Le coeur bat plus vite quand on est excité.,The heart beats faster when excited.
poumons,poo-mon,lungs,Fumer est mauvais pour les poumons.,Smoking is bad for the lungs.
estomac,es-toh-mah,stomach,Il a mal à l'estomac après avoir mangé.,He has a stomach ache after eating.
foie,fwah,liver,Le foie aide à détoxifier le corps.,The liver helps detoxify the body.
reins,ran,kidneys,Les reins filtrent le sang.,The kidneys filter the blood.
peau,poh,skin,Prends soin de ta peau.,Take care of your skin.
cheveux,shuh-vuh,hair,Elle a de longs cheveux.,She has long hair.
ongles,on-gluh,nails,Ses ongles sont bien soignés.,His nails are well-maintained.
santé,san-tay,health,Prendre soin de sa santé est important.,Taking care of one's health is important.
maladie,mah-lah-dee,illness,La grippe est une maladie courante.,The flu is a common illness.
médicament,may-dee-kah-mon,medicine,Prends ton médicament après le repas.,Take your medicine after the meal.
médecin,med-sen,doctor,Je dois voir un médecin demain.,I have to see a doctor tomorrow.
hôpital,oh-pee-tal,hospital,Il a été admis à l'hôpital.,He was admitted to the hospital.
pharmacie,far-mah-see,pharmacy,La pharmacie est ouverte jusqu'à 20h.,The pharmacy is open until 8 PM.
ordonnance,or-doh-nans,prescription,J'ai besoin d'une ordonnance pour ce médicament.,I need a prescription for this medicine.
avion,ah-vyon,airplane,Je prends l'avion pour Paris demain.,I'm taking the airplane to Paris tomorrow.
train,tran,train,Le train part à neuf heures.,The train leaves at nine o'clock.
voiture,vwa-tur,car,Ma voiture est en panne.,My car is broken down.
vélo,vay-loh,bicycle,Je vais au travail à vélo.,I go to work by bicycle.
bus,boos,bus,Le bus arrive dans cinq minutes.,The bus arrives in five minutes.
métro,may-troh,subway,Le métro est le moyen de transport le plus rapide.,The subway is the fastest mode of transport.
taxi,tak-see,taxi,Nous avons pris un taxi pour aller à l'aéroport.,We took a taxi to go to the airport.
bateau,bah-toh,boat,Le bateau navigue sur la Seine.,The boat sails on the Seine.
gare,gar,train station,La gare est située près du centre-ville.,The train station is located near the downtown area.
aéroport,ay-roh-port,airport,L'aéroport est très animé pendant les vacances.,The airport is very busy during the holidays.
billet,bee-yay,ticket,J'ai acheté un billet de retour.,I bought a return ticket.
passeport,pass-port,passport,Assure-toi d'avoir ton passeport avant de partir.,Make sure you have your passport before leaving.
visa,vee-zah,visa,Certains pays exigent un visa pour entrer.,Some countries require a visa to enter.
valise,vah-leez,suitcase,Elle a rangé ses vêtements dans sa valise.,She put her clothes in her suitcase.
bagage à main,bah-gahzh ah man,carry-on luggage,N'oublie pas ton bagage à main dans le train.,Don't forget your carry-on luggage on the train.
réservation,ray-zair-va-syon,reservation,J'ai une réservation au restaurant pour 20h.,I have a reservation at the restaurant for 8 PM.
hôtel,oh-tel,hotel,Nous avons réservé une chambre d'hôtel.,We booked a hotel room.
auberge de jeunesse,oh-behrzh duh zhuh-ness,youth hostel,L'auberge de jeunesse est économique et conviviale.,The youth hostel is affordable and friendly.
location de voiture,loh-kah-syon duh vwa-tur,car rental,Nous avons loué une voiture pour explorer la région.,We rented a car to explore the region.
itinéraire,ee-tee-nay-rehr,itinerary,Je dois finaliser mon itinéraire de voyage.,I need to finalize my travel itinerary.
destination,dess-tee-na-syon,destination,Paris est une destination populaire.,Paris is a popular destination.
carte,kart,map,J'utilise une carte pour naviguer dans la ville.,I use a map to navigate the city.
guide touristique,geed too-rees-teek,tourist guide,Un guide touristique nous a montré les monuments.,A tourist guide showed us the monuments.
attractions,ah-trak-syon,attractions,Les attractions principales sont la Tour Eiffel et le Louvre.,The main attractions are the Eiffel Tower and the Louvre.
bureau de change,byoo-roh duh shahnzh,currency exchange office,Le bureau de change est près de l'aéroport.,The currency exchange office is near the airport.
assurance voyage,ah-soo-rahns vwa-yahzh,travel insurance,Il est important de souscrire une assurance voyage.,It is important to get travel insurance.
sécurité,say-koo-ree-tay,security,La sécurité est renforcée à l'aéroport.,Security is tightened at the airport.
escale,es-kal,stopover,Nous avons une escale de deux heures à Londres.,We have a two-hour stopover in London.
arrivée,ah-ree-vay,arrival,L'arrivée est prévue à 18h.,The arrival is scheduled for 6 PM.
départ,day-par,departure,Le départ est retardé de trente minutes.,The departure is delayed by thirty minutes.
transit,tran-zeet,transit,Je dois changer de train pendant le transit.,I have to change trains during transit.
billet aller-retour,bee-yay ah-lay ruh-toor,round-trip ticket,J'ai acheté un billet aller-retour.,I bought a round-trip ticket.
plateforme,plat-form,platform,Mon train part de la plateforme 3.,My train leaves from platform 3.
bagages,bah-gahzh,luggage,Mes bagages ont été perdus.,My luggage has been lost.
douane,doo-an,customs,Nous avons passé la douane rapidement.,We passed through customs quickly.
frontière,fron-tyehr,border,La frontière entre la France et l'Espagne est ouverte.,The border between France and Spain is open.
carte d'embarquement,kart dom-bar-kuh-mon,boarding pass,Montrez votre carte d'embarquement avant d'embarquer.,Show your boarding pass before boarding.
